Time,North_Latitude,North_Longitude,South_Latitude,South_Longitude,Center_Latitude,Center_Longitude,D_ratio,Sun_Alt,Sun_Azm,Path_Width,Center_Line_Dur
2021-12-04 07:08,-61.523,-35.458,-58.495,-47.207,-60.424,-40.598,1.034,9,119,452,1m41.8s
2021-06-10 07:10,-63.214,-34.459,-60.550,-45.290,-62.223,-39.480,1.035,11,118,452,1m44.2s
2021-06-10 07:12,-64.453,-34.002,-62.400,-44.222,-63.536,-38.580,1.035,12,116,450,1m46.1s
2021-06-10 07:14,-66.055,-33.266,-64.142,-43.424,-65.191,-38.248,1.035,13,115,447,1m47.8s
2021-06-10 07:16,-67.227,-33.038,-65.412,-43.228,-66.402,-38.059,1.036,14,114,444,1m49.2s
2021-06-10 07:18,-68.375,-32.512,-67.032,-43.204,-67.580,-38.001,1.036,15,113,440,1m50.4s
2021-06-10 07:20,-69.505,-32.490,-68.212,-43.341,-69.131,-38.071,1.036,15,112,437,1m51.4s
2021-06-10 07:22,-71.019,-32.575,-69.359,-44.038,-70.260,-38.275,1.036,16,112,433,1m52.3s
2021-06-10 07:24,-72.119,-33.178,-70.477,-44.503,-71.368,-39.021,1.036,16,112,430,1m53.0s
2021-06-10 07:26,-73.207,-33.512,-71.569,-45.550,-72.459,-39.526,1.037,17,112,427,1m53.5s
2021-06-10 07:28,-74.283,-34.399,-73.035,-47.202,-73.531,-41.012,1.037,17,112,425,1m54.0s
2021-06-10 07:30,-75.348,-35.467,-74.073,-49.086,-74.585,-42.310,1.037,17,113,422,1m54.2s
2021-06-10 07:32,-76.400,-37.155,-75.082,-51.241,-76.019,-44.261,1.037,17,114,420,1m54.4s
2021-06-10 07:34,-77.437,-39.115,-76.057,-54.110,-77.029,-46.516,1.037,17,115,418,1m54.4s
2021-06-10 07:36,-78.457,-41.419,-76.590,-57.344,-78.010,-49.541,1.037,17,117,416,1m54.3s
2021-06-10 07:38,-79.453,-44.561,-77.472,-61.400,-78.553,-53.416,1.037,17,120,415,1m54.1s
2021-06-10 07:40,-80.415,-49.065,-78.290,-66.325,-79.447,-58.230,1.037,17,124,414,1m53.8s
2021-06-10 07:42,-81.330,-54.285,-79.026,-72.148,-80.275,-64.071,1.037,16,129,413,1m53.3s
2021-06-10 07:44,-82.176,-61.186,-79.260,-78.455,-81.015,-70.596,1.036,16,135,413,1m52.6s
2021-06-10 07:46,-82.524,-69.491,-79.370,-85.565,-81.241,-78.584,1.036,16,142,413,1m51.8s
2021-06-10 07:48,-83.138,-79.569,-79.334,-93.315,-81.325,-87.482,1.036,15,150,413,1m50.9s
2021-06-10 07:50,-83.181,-91.104,-79.131,-101.084,-81.242,-96.595,1.036,14,158,414,1m49.8s
2021-06-10 07:52,-83.027,-102.299,-78.344,-108.236,-80.578,-105.549,1.036,14,166,415,1m48.4s
2021-06-10 07:54,-82.271,-112.515,-77.356,-114.573,-80.124,-114.009,1.035,13,173,416,1m46.9s
2021-06-10 07:56,-81.320,-121.347,-76.130,-120.367,-79.076,-120.568,1.035,11,180,418,1m45.0s
2021-06-10 07:58,-80.188,-128.291,-74.178,-125.137,-77.417,-126.352,1.034,10,184,420,1m42.8s
2021-06-10 08:00,-78.469,-133.422,-71.150,-128.364,-75.495,-130.558,1.034,8,188,422,1m40.1s
