Time,North_Latitude,North_Longitude,South_Latitude,South_Longitude,Center_Latitude,Center_Longitude,D_ratio,Sun_Alt,Sun_Azm,Path_Width,Center_Line_Dur
2021-06-10 10:02,56.22,-86.54,60.27,-69.01,59.14,-76.21,0.941,12,65,653,3m43.6s
2021-06-10 10:04,58.35,-84.05,61.40,-67.50,60.41,-74.54,0.941,14,67,641,3m44.5s
2021-06-10 10:06,60.21,-82.12,62.51,-66.46,62.01,-73.41,0.941,15,69,630,3m45.3s
2021-06-10 10:08,61.54,-80.46,63.58,-65.47,63.16,-72.37,0.942,16,70,620,3m46.0s
2021-06-10 10:10,63.18,-79.37,65.04,-64.52,64.29,-71.40,0.942,17,72,610,3m46.7s
2021-06-10 10:12,64.37,-78.41,66.08,-63.59,65.38,-70.49,0.942,18,73,601,3m47.2s
2021-06-10 10:14,65.52,-77.55,67.10,-63.10,66.45,-70.04,0.942,19,75,592,3m47.8s
2021-06-10 10:16,67.04,-77.18,68.11,-62.23,67.51,-69.23,0.942,19,76,584,3m48.3s
2021-06-10 10:18,68.13,-76.48,69.11,-61.37,68.55,-68.46,0.943,20,78,577,3m48.7s
2021-06-10 10:20,69.20,-76.25,70.11,-60.53,69.58,-68.13,0.943,21,79,570,3m49.1s
2021-06-10 10:22,70.26,-76.08,71.09,-60.10,70.59,-67.43,0.943,21,80,563,3m49.5s
2021-06-10 10:24,71.30,-75.58,72.07,-59.28,72.00,-67.17,0.943,21,81,557,3m49.8s
2021-06-10 10:26,72.33,-75.55,73.05,-58.47,73.01,-66.54,0.943,22,83,552,3m50.1s
2021-06-10 10:28,73.35,-76.00,74.02,-58.06,74.00,-66.35,0.943,22,84,547,3m50.3s
2021-06-10 10:30,74.36,-76.13,74.59,-57.25,75.00,-66.20,0.943,23,85,543,3m50.6s
2021-06-10 10:32,75.37,-76.35,75.55,-56.44,75.59,-66.09,0.943,23,86,539,3m50.7s
2021-06-10 10:34,76.36,-77.09,76.51,-56.02,76.57,-66.02,0.943,23,87,536,3m50.9s
2021-06-10 10:36,77.35,-77.55,77.48,-55.19,77.56,-66.01,0.943,23,88,533,3m51.0s
2021-06-10 10:38,78.34,-78.58,78.44,-54.34,78.54,-66.07,0.943,23,89,530,3m51.1s
2021-06-10 10:40,79.31,-80.20,79.40,-53.48,79.52,-66.22,0.943,23,89,528,3m51.1s
2021-06-10 10:42,80.28,-82.09,80.37,-52.58,80.50,-66.47,0.943,23,90,527,3m51.2s
2021-06-10 10:44,81.24,-84.31,81.33,-52.04,81.48,-67.28,0.943,23,90,526,3m51.1s
2021-06-10 10:46,82.18,-87.39,82.30,-51.05,82.46,-68.29,0.943,23,90,525,3m51.1s
2021-06-10 10:48,83.10,-91.49,83.27,-49.56,83.45,-70.01,0.943,23,89,525,3m51.0s
2021-06-10 10:50,83.58,-97.24,84.24,-48.34,84.42,-72.23,0.943,23,88,525,3m50.9s
2021-06-10 10:52,84.41,-104.54,85.22,-46.51,85.39,-76.02,0.943,23,85,526,3m50.7s
2021-06-10 10:54,85.16,-114.51,86.20,-44.28,86.35,-82.09,0.943,22,80,527,3m50.5s
2021-06-10 10:56,85.40,-127.26,87.18,-40.41,87.26,-93.09,0.943,22,70,528,3m50.3s
2021-06-10 10:58,85.46,-141.54,88.16,-33.12,88.06,-114.05,0.943,22,50,530,3m50.1s
2021-06-10 11:00,85.34,-156.22,89.09,-9.25,88.17,-147.41,0.943,21,17,533,3m49.7s
2021-06-10 11:02,85.05,-168.58,89.18,74.54,87.51,-177.38,0.943,21,348,536,3m49.4s
2021-06-10 11:04,84.21,-178.52,88.26,108.18,87.02,165.39,0.943,20,332,540,3m49.0s
2021-06-10 11:06,83.26,173.43,87.24,117.34,86.02,156.52,0.943,20,324,545,3m48.6s
2021-06-10 11:08,82.22,168.19,86.20,121.57,84.56,151.56,0.943,19,320,550,3m48.1s
2021-06-10 11:10,81.11,164.25,85.13,124.43,83.46,149.01,0.942,18,318,556,3m47.6s
2021-06-10 11:12,79.52,161.39,84.04,126.45,82.33,147.16,0.942,18,317,562,3m47.0s
2021-06-10 11:14,78.24,159.45,82.53,128.25,81.15,146.17,0.942,17,317,570,3m46.4s
2021-06-10 11:16,76.47,158.35,81.39,129.55,79.52,145.49,0.942,16,317,579,3m45.6s
2021-06-10 11:18,74.57,158.04,80.22,131.19,78.25,145.46,0.941,15,318,588,3m44.9s
2021-06-10 11:20,72.45,158.15,79.01,132.41,76.50,146.04,0.941,13,319,600,3m44.0s
