skip_distance,o_foF2,time_start,time_end
2187.0,10.7,2021-06-10 08:00:00.040489,2021-06-10 08:00:00.040489
2054.7,10.4,2021-06-10 08:01:00.008253,2021-06-10 08:01:00.008253
1755.4,10.6,2021-06-10 08:02:00.035354,2021-06-10 08:02:00.035354
2160.0,10.7,2021-06-10 08:03:00.009695,2021-06-10 08:03:00.009695
2024.7,10.7,2021-06-10 08:04:00.042581,2021-06-10 08:04:00.042581
2115.0,10.7,2021-06-10 08:05:00.009138,2021-06-10 08:05:00.009138
2052.0,10.7,2021-06-10 08:06:00.035739,2021-06-10 08:06:00.035739
1998.0,10.4,2021-06-10 08:07:00.008893,2021-06-10 08:07:00.008893
1962.0,10.7,2021-06-10 08:08:00.046484,2021-06-10 08:08:00.046484
2009.4,10.6,2021-06-10 08:09:00.028233,2021-06-10 08:09:00.028233
2154.6,10.6,2021-06-10 08:10:00.042347,2021-06-10 08:10:00.042347
2070.0,10.7,2021-06-10 08:11:00.009008,2021-06-10 08:11:00.009008
1821.6,10.6,2021-06-10 08:12:00.035109,2021-06-10 08:12:00.035109
1728.0,10.2,2021-06-10 08:13:00.006765,2021-06-10 08:13:00.006765
2036.2,10.7,2021-06-10 08:14:00.032971,2021-06-10 08:14:00.032971
2070.0,10.6,2021-06-10 08:15:00.010621,2021-06-10 08:15:00.010621
2115.0,10.6,2021-06-10 08:16:00.033226,2021-06-10 08:16:00.033226
2115.0,10.7,2021-06-10 08:17:00.008877,2021-06-10 08:17:00.008877
2142.0,10.7,2021-06-10 08:18:00.033085,2021-06-10 08:18:00.033085
1991.2,10.4,2021-06-10 08:19:00.009236,2021-06-10 08:19:00.009236
2092.5,10.6,2021-06-10 08:20:00.037128,2021-06-10 08:20:00.037128
1719.6,10.6,2021-06-10 08:21:00.022062,2021-06-10 08:21:00.022062
1957.5,10.6,2021-06-10 08:22:00.040567,2021-06-10 08:22:00.040567
1647.5,10.6,2021-06-10 08:23:00.009226,2021-06-10 08:23:00.009226
1751.3,10.5,2021-06-10 08:24:00.036826,2021-06-10 08:24:00.036826
1380.2,10.7,2021-06-10 08:25:00.006984,2021-06-10 08:25:00.006984
1674.1,10.6,2021-06-10 08:26:00.033189,2021-06-10 08:26:00.033189
1874.9,10.7,2021-06-10 08:27:00.006343,2021-06-10 08:27:00.006343
1612.3,10.6,2021-06-10 08:28:00.023954,2021-06-10 08:28:00.023954
1503.8,10.7,2021-06-10 08:29:00.045560,2021-06-10 08:29:00.045560
1339.3,10.7,2021-06-10 08:30:00.029703,2021-06-10 08:30:00.029703
1609.6,10.7,2021-06-10 08:31:00.009351,2021-06-10 08:31:00.009351
1860.0,10.4,2021-06-10 08:32:00.030457,2021-06-10 08:32:00.030457
1615.3,10.5,2021-06-10 08:33:00.006213,2021-06-10 08:33:00.006213
1547.1,10.6,2021-06-10 08:34:00.026820,2021-06-10 08:34:00.026820
1957.5,10.6,2021-06-10 08:35:00.041433,2021-06-10 08:35:00.041433
1902.9,10.6,2021-06-10 08:36:00.016586,2021-06-10 08:36:00.016586
1895.0,10.5,2021-06-10 08:37:00.034591,2021-06-10 08:37:00.034591
1614.2,10.7,2021-06-10 08:38:00.038611,2021-06-10 08:38:00.038611
2000.8,10.7,2021-06-10 08:39:00.009163,2021-06-10 08:39:00.009163
1950.0,10.6,2021-06-10 08:40:00.030270,2021-06-10 08:40:00.030270
1922.1,10.7,2021-06-10 08:41:00.008919,2021-06-10 08:41:00.008919
572.0,10.5,2021-06-10 08:42:00.029026,2021-06-10 08:42:00.029026
1875.0,10.6,2021-06-10 08:43:00.045138,2021-06-10 08:43:00.045138
1877.7,10.5,2021-06-10 08:44:00.019291,2021-06-10 08:44:00.019291
1103.6,10.7,2021-06-10 08:45:00.033904,2021-06-10 08:45:00.033904
1404.2,10.7,2021-06-10 08:46:00.009161,2021-06-10 08:46:00.009161
1567.1,10.6,2021-06-10 08:47:00.029768,2021-06-10 08:47:00.029768
578.0,10.7,2021-06-10 08:48:00.047877,2021-06-10 08:48:00.047877
1922.1,10.7,2021-06-10 08:49:00.024528,2021-06-10 08:49:00.024528
1881.0,10.7,2021-06-10 08:50:00.041139,2021-06-10 08:50:00.041139
1930.0,10.7,2021-06-10 08:51:00.006801,2021-06-10 08:51:00.006801
1860.7,10.7,2021-06-10 08:52:00.028906,2021-06-10 08:52:00.028906
1488.6,10.7,2021-06-10 08:53:00.006556,2021-06-10 08:53:00.006556
1398.1,10.6,2021-06-10 08:54:00.028662,2021-06-10 08:54:00.028662
1554.0,10.7,2021-06-10 08:55:00.040673,2021-06-10 08:55:00.040673
